epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6855,0.69972,4.26547,0.98667,0.10731,0.80202,0.28353,0.26543,0.38239,3.24622,0.86716,4.30345e-05,4.30345e-05,4.30345e-05
2,52.3223,0.48953,2.71734,0.93522,0.72526,0.67278,0.71733,0.67716,0.35895,1.58494,0.87437,8.46577e-05,8.46577e-05,8.46577e-05
3,75.9964,0.42694,1.61349,0.90831,0.85981,0.90777,0.91598,0.87294,0.32182,0.83854,0.85415,0.000124565,0.000124565,0.000124565
4,99.4446,0.39692,1.16966,0.89126,0.95347,0.94572,0.97024,0.93037,0.30719,0.6052,0.84514,0.000122278,0.000122278,0.000122278
5,122.988,0.36801,0.94417,0.87623,0.96929,0.97096,0.9748,0.93845,0.2935,0.45722,0.8326,0.000119704,0.000119704,0.000119704
6,146.722,0.35162,0.8202,0.86471,0.97991,0.98311,0.97518,0.94259,0.29192,0.39398,0.82849,0.00011713,0.00011713,0.00011713
7,171.67,0.34171,0.73405,0.86155,0.9811,0.98272,0.97451,0.93919,0.2815,0.37396,0.82239,0.000114556,0.000114556,0.000114556
8,195.513,0.33289,0.68738,0.86021,0.98229,0.9838,0.97662,0.95243,0.26701,0.34207,0.81929,0.000111982,0.000111982,0.000111982
9,219.369,0.31929,0.64353,0.85221,0.98188,0.98327,0.97646,0.95035,0.26441,0.33039,0.81579,0.000109408,0.000109408,0.000109408
10,243.081,0.31513,0.61525,0.85289,0.98181,0.98349,0.9765,0.95354,0.27345,0.321,0.81948,0.000106834,0.000106834,0.000106834
11,266.939,0.31168,0.59987,0.85241,0.98196,0.98426,0.97831,0.95382,0.2647,0.31223,0.81783,0.00010426,0.00010426,0.00010426
12,290.667,0.30579,0.56931,0.85091,0.98174,0.98251,0.97922,0.95495,0.25903,0.30678,0.81525,0.000101686,0.000101686,0.000101686
13,315.14,0.30398,0.55695,0.84797,0.98106,0.98323,0.97711,0.95684,0.25932,0.30085,0.81373,9.9112e-05,9.9112e-05,9.9112e-05
14,339.117,0.29986,0.53607,0.84305,0.98215,0.98392,0.97778,0.95618,0.2573,0.29561,0.81491,9.6538e-05,9.6538e-05,9.6538e-05
15,363.527,0.29721,0.52114,0.84612,0.98296,0.98201,0.97739,0.95904,0.25483,0.29535,0.81321,9.3964e-05,9.3964e-05,9.3964e-05
16,387.726,0.29253,0.52047,0.84173,0.98189,0.98426,0.9785,0.95694,0.25831,0.29269,0.81362,9.139e-05,9.139e-05,9.139e-05
17,411.537,0.28987,0.51201,0.84087,0.98283,0.9836,0.97573,0.95843,0.24765,0.28506,0.81003,8.8816e-05,8.8816e-05,8.8816e-05
18,435.483,0.28655,0.49031,0.84145,0.98292,0.98426,0.97569,0.95749,0.24464,0.27811,0.80945,8.6242e-05,8.6242e-05,8.6242e-05
19,459.537,0.28793,0.48842,0.84124,0.98283,0.9836,0.97564,0.95873,0.24494,0.27472,0.81026,8.3668e-05,8.3668e-05,8.3668e-05
20,483.637,0.28217,0.46855,0.83923,0.9824,0.9836,0.97479,0.95831,0.24397,0.26965,0.81035,8.1094e-05,8.1094e-05,8.1094e-05
21,507.669,0.27768,0.46069,0.8356,0.98259,0.9836,0.97564,0.95826,0.24957,0.26552,0.81224,7.852e-05,7.852e-05,7.852e-05
22,532.179,0.28064,0.45501,0.84162,0.98315,0.98426,0.97726,0.96022,0.24215,0.27201,0.80848,7.5946e-05,7.5946e-05,7.5946e-05
23,556.9,0.27149,0.44121,0.83869,0.98335,0.98426,0.97622,0.95941,0.23966,0.26032,0.8072,7.3372e-05,7.3372e-05,7.3372e-05
24,581.227,0.26837,0.43758,0.83538,0.98324,0.98426,0.97518,0.95794,0.24341,0.26013,0.80991,7.0798e-05,7.0798e-05,7.0798e-05
25,605.412,0.27283,0.43615,0.8348,0.98304,0.98426,0.97547,0.95869,0.24161,0.25869,0.8079,6.8224e-05,6.8224e-05,6.8224e-05
26,630.261,0.26838,0.43314,0.83511,0.98346,0.98421,0.97584,0.96011,0.23549,0.25515,0.80838,6.565e-05,6.565e-05,6.565e-05
27,654.223,0.26679,0.42124,0.83273,0.98312,0.98423,0.9752,0.95866,0.23721,0.25204,0.80708,6.3076e-05,6.3076e-05,6.3076e-05
28,678.132,0.26508,0.41652,0.8367,0.98266,0.98426,0.97686,0.95945,0.24166,0.25227,0.80779,6.0502e-05,6.0502e-05,6.0502e-05
29,701.962,0.2617,0.40924,0.83411,0.98351,0.98426,0.97636,0.96062,0.23532,0.24519,0.80627,5.7928e-05,5.7928e-05,5.7928e-05
30,725.747,0.2623,0.40644,0.83362,0.98269,0.9836,0.97581,0.96223,0.2313,0.24613,0.80544,5.5354e-05,5.5354e-05,5.5354e-05
31,749.463,0.25592,0.39774,0.83287,0.98318,0.98426,0.9757,0.95991,0.23621,0.24717,0.80736,5.278e-05,5.278e-05,5.278e-05
32,773.284,0.25794,0.39464,0.83094,0.98353,0.98422,0.97759,0.96314,0.23487,0.24241,0.8069,5.0206e-05,5.0206e-05,5.0206e-05
33,797.114,0.25442,0.393,0.8298,0.98277,0.9836,0.97519,0.96188,0.23181,0.24163,0.80538,4.7632e-05,4.7632e-05,4.7632e-05
34,821.261,0.25426,0.38664,0.83427,0.9833,0.98426,0.97577,0.96195,0.23088,0.24008,0.80523,4.5058e-05,4.5058e-05,4.5058e-05
35,844.98,0.25327,0.38719,0.83221,0.98349,0.98426,0.97559,0.9618,0.2292,0.23993,0.80457,4.2484e-05,4.2484e-05,4.2484e-05
36,868.813,0.25059,0.38254,0.83059,0.98367,0.98426,0.97574,0.96272,0.22942,0.23914,0.80501,3.991e-05,3.991e-05,3.991e-05
37,892.684,0.25276,0.38322,0.83303,0.98358,0.98426,0.97606,0.96222,0.22986,0.23492,0.80492,3.7336e-05,3.7336e-05,3.7336e-05
38,916.583,0.2514,0.37816,0.83012,0.98281,0.9836,0.97593,0.96328,0.22991,0.23522,0.80449,3.4762e-05,3.4762e-05,3.4762e-05
39,940.618,0.24937,0.37689,0.83161,0.98335,0.98409,0.97554,0.96154,0.22788,0.23504,0.8049,3.2188e-05,3.2188e-05,3.2188e-05
40,964.391,0.24694,0.3687,0.82936,0.98346,0.98426,0.97582,0.96173,0.22579,0.23291,0.80507,2.9614e-05,2.9614e-05,2.9614e-05
41,1001.9,0.20859,0.37289,0.80455,0.98261,0.9836,0.97612,0.96159,0.23017,0.23432,0.804,2.704e-05,2.704e-05,2.704e-05
42,1025.53,0.20373,0.35697,0.80329,0.9832,0.98426,0.97634,0.96223,0.22574,0.23049,0.8027,2.4466e-05,2.4466e-05,2.4466e-05
43,1049.25,0.20136,0.35004,0.80031,0.98338,0.98389,0.97638,0.964,0.22415,0.22728,0.80205,2.1892e-05,2.1892e-05,2.1892e-05
44,1072.91,0.19977,0.34592,0.80066,0.98285,0.98346,0.9759,0.96358,0.22609,0.22533,0.80252,1.9318e-05,1.9318e-05,1.9318e-05
